nome_cliente,status_conta,duracao_meses,historico_credito,finalidade,valor,poupanca,tempo_emprego,taxa_parcela,estado_civil_sexo,outros_devedores,tempo_residencia,propriedade,idade,outros_planos,moradia,num_creditos,trabalho,dependentes,telefone,trabalhador_estrangeiro,risco_credito
Wagner Lacerda Almeida,Saldo < R$500,6,critical account/other credits existing,Eletrodomésticos,2922,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,67,none,Própria,2,Emprego qualificado,1,yes,yes,1
Lucca Tavares Rocha,Saldo entre R$500 e R$1000,48,existing credits paid back duly till now,Eletrodomésticos,14877,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,Própria,1,Emprego qualificado,1,no,yes,0
Francisco Castro Sampaio,Sem conta corrente,12,critical account/other credits existing,Educação,5240,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,Própria,1,Emprego não qualificado,2,no,yes,1
Kaique Cavalcante Novaes,Saldo < R$500,42,existing credits paid back duly till now,Eletrônicos,19705,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,45,none,Cedida,1,Emprego qualificado,2,no,yes,1
Henrique Oliveira Dias,Saldo < R$500,24,delay in paying off in the past,Carro novo,12175,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,Cedida,2,Emprego qualificado,2,no,yes,0
Leandro Santos Cavalcante,Sem conta corrente,36,existing credits paid back duly till now,Educação,22637,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,35,none,Cedida,1,Emprego não qualificado,2,yes,yes,1
Diego Peixoto Santos,Sem conta corrente,24,existing credits paid back duly till now,Eletrônicos,7087,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,53,none,Própria,1,Emprego qualificado,1,no,yes,1
Emanuel Fogaça Rocha,Saldo entre R$500 e R$1000,36,existing credits paid back duly till now,Carro usado,17370,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,35,none,Alugada,1,Outros,1,yes,yes,1
Arthur Amaral Xavier,Sem conta corrente,12,existing credits paid back duly till now,Eletrodomésticos,7647,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,Própria,1,Emprego não qualificado,1,no,yes,1
Thiago Fonseca Correa,Saldo entre R$500 e R$1000,30,critical account/other credits existing,Carro novo,13085,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,Própria,2,Outros,1,no,yes,0
Murilo Medeiros Kruger,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Carro novo,3237,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,car or other,25,none,Alugada,1,Emprego qualificado,1,no,yes,0
Yuri Rabelo Almeida,Saldo < R$500,48,existing credits paid back duly till now,Outros,10770,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,Alugada,1,Emprego qualificado,1,no,yes,0
Augusto Mello Teixeira,Saldo entre R$500 e R$1000,12,existing credits paid back duly till now,Eletrodomésticos,3917,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,22,none,Própria,1,Emprego qualificado,1,yes,yes,1
Augusto Cavalcanti Franco,Saldo < R$500,24,critical account/other credits existing,Carro novo,2997,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,60,none,Própria,2,Emprego não qualificado,1,no,yes,0
Emanuel Oliveira Cavalcanti,Saldo < R$500,15,existing credits paid back duly till now,Carro novo,3507,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,Alugada,1,Emprego qualificado,1,no,yes,1
Lucas Rocha Pacheco,Saldo < R$500,24,existing credits paid back duly till now,Eletrodomésticos,3205,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,32,none,Própria,1,Emprego não qualificado,1,no,yes,0
Nicolas Fernandes Souza,Sem conta corrente,24,critical account/other credits existing,Eletrodomésticos,6060,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,53,none,Própria,2,Emprego qualificado,1,no,yes,1
Marcos Fogaça Carvalho,Saldo < R$500,30,no credits taken/all credits paid back duly,Outros,20180,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,25,bank,Própria,3,Emprego qualificado,1,no,yes,1
Luiz Goulart Leite,Saldo entre R$500 e R$1000,24,existing credits paid back duly till now,Carro usado,31447,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,44,none,Cedida,1,Outros,1,yes,yes,0
